id,nombre,apellido1,apellido2,correo,telefono,puesto,activo
38,Arch,Koomar,Koomar,arch.koomar@yahoo.com,4960251090,Diseñador,0
39,Wallis,Glazier,Glazier,wallis.glazier@gmail.com,2693911184,Analista de Datos,0
40,Edmund,Wycliffe,Wycliffe,edmund.wycliffe@yahoo.com,4907803095,Soporte Técnico,0
41,Sky,Harme,Harme,sky.harme@yahoo.fr,5832960551,Ingeniero de Software,1
42,Chic,Abbitt,Abbitt,chic.abbitt@gmail.com,6196932222,Soporte Técnico,0
43,Devan,Kenwell,Kenwell,devan.kenwell@hotmail.co.uk,0524605188,Soporte Técnico,1
44,Gigi,Clarey,Clarey,gigi.clarey@att.net,8241983738,Desarrollador,0
45,Jere,Alton,Alton,jere.alton@gmail.com,5724469892,Marketing,1
46,Purcell,Maxweell,Maxweell,purcell.maxweell@uol.com.br,7464198588,Consultor,0
47,Claretta,Renon,Renon,claretta.renon@yahoo.com,7601755346,Consultor,1
48,Dione,Mayhow,Mayhow,dione.mayhow@gmail.com,0203109044,Consultor,0
49,Hewet,Children,Children,hewet.children@hotmail.com,1457184993,Ventas,0
50,Madelena,Blankley,Blankley,madelena.blankley@yahoo.com,0371718237,Marketing,1
51,Montague,Colpus,Colpus,montague.colpus@hotmail.co.uk,7709421737,Soporte Técnico,1
52,Rodolph,Ivanaev,Ivanaev,rodolph.ivanaev@gmail.com,1116564868,Soporte Técnico,1
53,Benedict,Prudham,Prudham,benedict.prudham@gmail.com,0926144954,Diseñador,1
54,Victoir,Rought,Rought,victoir.rought@hotmail.com,9628836077,Consultor,0
55,Flemming,Killeley,Killeley,flemming.killeley@yahoo.com,2618346277,Administrador de Sistemas,0
56,Ulberto,Rollinshaw,Rollinshaw,ulberto.rollinshaw@gmail.com,2063607690,Ventas,0
57,Gordon,Durham,Durham,gordon.durham@hotmail.fr,1436072785,Gerente de Proyecto,1
58,Rafe,Scamerden,Scamerden,rafe.scamerden@yahoo.com,0921674492,Soporte Técnico,1
59,Callean,Hachette,Hachette,callean.hachette@yahoo.com,8620866444,Analista de Datos,1
60,Marshall,Elloit,Elloit,marshall.elloit@shaw.ca,8566548612,Analista de Datos,1
61,Zacharie,O'Mullaney,O'Mullaney,zacharie.o'mullaney@hotmail.com,1867697162,Consultor,0
62,Stephen,Percy,Percy,stephen.percy@yahoo.com,7951084655,Ingeniero de Software,0
63,Crysta,Turfes,Turfes,crysta.turfes@yahoo.com,8800357478,Ingeniero de Software,1
64,Cobb,Deary,Deary,cobb.deary@live.com,9436537896,Ingeniero de Software,0
65,Lisetta,Osmon,Osmon,lisetta.osmon@yahoo.com,8754013393,Desarrollador,1
66,Jenine,Clashe,Clashe,jenine.clashe@yahoo.com,2819307859,Analista de Datos,1
67,Tiler,Furlong,Furlong,tiler.furlong@gmail.com,0424025179,Consultor,0
68,Ellery,Manvelle,Manvelle,ellery.manvelle@hotmail.com,2797627263,Ingeniero de Software,1
69,Juieta,Jeens,Jeens,juieta.jeens@gmail.com,7558080757,Desarrollador,0
70,Davidde,Heindrich,Heindrich,davidde.heindrich@msn.com,6311536610,Administrador de Sistemas,1
71,Gabie,Ruggs,Ruggs,gabie.ruggs@libero.it,3115511666,Ingeniero de Software,1
72,Chickie,Kiddye,Kiddye,chickie.kiddye@gmail.com,2947319011,Analista de Datos,1
73,Donalt,Di Dello,Di Dello,donalt.di dello@yahoo.com,6885786192,Analista de Datos,0
74,Bo,Maven,Maven,bo.maven@gmail.com,7163348512,Desarrollador,0
75,Harrie,Inwood,Inwood,harrie.inwood@hotmail.com,2353299310,Analista de Datos,1
76,Timmie,Willock,Willock,timmie.willock@msn.com,6908701954,Diseñador,0
77,Ceciley,Salaman,Salaman,ceciley.salaman@gmail.com,2360158351,Desarrollador,0
78,Cesaro,Marthen,Marthen,cesaro.marthen@gmail.com,4872308957,Desarrollador,0
79,Lenee,Ivanilov,Ivanilov,lenee.ivanilov@gmail.com,7933076126,Desarrollador,1
80,Frank,Kaiser,Kaiser,frank.kaiser@yahoo.com,4902871740,Consultor,0
81,Almire,Wittey,Wittey,almire.wittey@gmail.com,9303439050,Ingeniero de Software,1
82,Faye,De Bruijn,De Bruijn,faye.de bruijn@hotmail.com,1252916999,Ingeniero de Software,0
83,Mayne,MacNeil,MacNeil,mayne.macneil@gmail.com,6430388832,Administrador de Sistemas,0
84,Eal,Serjent,Serjent,eal.serjent@yahoo.com,0174322378,Ingeniero de Software,0
85,Bettine,Linforth,Linforth,bettine.linforth@gmail.com,6883595752,Gerente de Proyecto,0
86,Adore,Reymers,Reymers,adore.reymers@hotmail.com,8757110982,Consultor,0
87,Price,End,End,price.end@hotmail.com,1690905035,Desarrollador,0
88,Dru,Baldam,Baldam,dru.baldam@yahoo.com,2643352467,Ventas,0
89,Juanita,Byres,Byres,juanita.byres@hotmail.com,7646061155,Marketing,0
90,Kennan,Durtnel,Durtnel,kennan.durtnel@yahoo.com,4920784278,Diseñador,0
91,Rowan,Halladay,Halladay,rowan.halladay@hotmail.com,5140647108,Marketing,0
92,Evangeline,MacLardie,MacLardie,evangeline.maclardie@yahoo.com,9397449764,Soporte Técnico,1
93,Peg,Balaisot,Balaisot,peg.balaisot@orange.fr,0989273230,Gerente de Proyecto,0
94,Ursala,Kennerknecht,Kennerknecht,ursala.kennerknecht@hotmail.com,4777999762,Gerente de Proyecto,1
95,Laure,Mallison,Mallison,laure.mallison@yahoo.com.br,1121677357,Ventas,0
96,Lilyan,Mugglestone,Mugglestone,lilyan.mugglestone@hotmail.com,4240710465,Administrador de Sistemas,1
97,Faith,Dearan,Dearan,faith.dearan@hotmail.com,5923521488,Consultor,1
98,Alisha,Birtle,Birtle,alisha.birtle@yahoo.com,3472814899,Diseñador,0
99,Jorge,Andrews,Andrews,jorge.andrews@gmail.com,9139806856,Analista de Datos,0
100,Rudolfo,Beswell,Beswell,rudolfo.beswell@comcast.net,4503584220,Marketing,1
