id,nombre,correo,asunto,equipo,mensaje,codigoRecibo,prioridad,fechaRegistro,status,idUsuario,fechaConclusion,activo
22,Galvin Rowdell,galvin.rowdell@yahoo.com,"Imperii disciplinam exercitumque in gravissimo bello animadversionis metu contineret, saluti prospexit civium, qua intellegebat contineri suam. Atque haec ratio late patet. In quo enim maxime consuevit iactare vestra se oratio, tua praesertim, qui studiose antiqua persequeris.","Imperii disciplinam exercitumque in gravissimo bello animadversionis metu contineret, saluti prospexit civium, qua intellegebat contineri suam. Atque haec ratio late patet. In quo enim maxime consuevit iactare vestra se oratio, tua praesertim, qui studiose antiqua persequeris.","Imperii disciplinam exercitumque in gravissimo bello animadversionis metu contineret, saluti prospexit civium, qua intellegebat contineri suam. Atque haec ratio late patet. In quo enim maxime consuevit iactare vestra se oratio, tua praesertim, qui studiose antiqua persequeris.",WAE-932169-J,Baja,2024-08-28T05:07:41+00:00,Cancelled,43,2024-08-28T05:07:41+00:00,0
23,Madelene Elson,madelene.elson@gmail.com,"Quidem, sed ista sequimur, ut sine cura metuque vivamus animumque et corpus, quantum efficere possimus, molestia liberemus. Ut enim medicorum scientiam non ipsius artis, sed bonae valetudinis causa.","Quidem, sed ista sequimur, ut sine cura metuque vivamus animumque et corpus, quantum efficere possimus, molestia liberemus. Ut enim medicorum scientiam non ipsius artis, sed bonae valetudinis causa.","Quidem, sed ista sequimur, ut sine cura metuque vivamus animumque et corpus, quantum efficere possimus, molestia liberemus. Ut enim medicorum scientiam non ipsius artis, sed bonae valetudinis causa.",DMW-258615-H,Alta,2024-01-28T20:35:30+00:00,In Progress,34,2024-01-28T20:35:30+00:00,0
24,Roslyn Cawkill,roslyn.cawkill@hotmail.com,Illa constituto veri a falso distinctio traditur. Restat locus huic.,Illa constituto veri a falso distinctio traditur. Restat locus huic.,Illa constituto veri a falso distinctio traditur. Restat locus huic.,TKQ-583640-J,Media,2024-10-16T18:42:49+00:00,On Hold,72,2024-10-16T18:42:49+00:00,1
25,Fancie Blance,fancie.blance@hotmail.com,"Vel dicam aut oratoribus bonis aut poetis, postea quidem quam fuit quem imitarentur, ullus orationis vel copiosae vel elegantis ornatus defuit? Ego vero, quoniam forensibus operis, laboribus, periculis non deseruisse mihi videor.","Vel dicam aut oratoribus bonis aut poetis, postea quidem quam fuit quem imitarentur, ullus orationis vel copiosae vel elegantis ornatus defuit? Ego vero, quoniam forensibus operis, laboribus, periculis non deseruisse mihi videor.","Vel dicam aut oratoribus bonis aut poetis, postea quidem quam fuit quem imitarentur, ullus orationis vel copiosae vel elegantis ornatus defuit? Ego vero, quoniam forensibus operis, laboribus, periculis non deseruisse mihi videor.",SNY-339326-J,Baja,2024-07-25T00:43:50+00:00,Closed,88,2024-07-25T00:43:50+00:00,0
26,Oona Strowger,oona.strowger@sfr.fr,"Rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis.","Rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis.","Rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis.",OMN-270158-I,Baja,2024-06-06T09:26:29+00:00,Cancelled,24,2024-06-06T09:26:29+00:00,0
27,Hendrika Lazar,hendrika.lazar@outlook.com,"Ad corpus referri, nec ob eam causam non fuisse. -- Torquem detraxit hosti. -- Et quidem se texit, ne interiret. .","Ad corpus referri, nec ob eam causam non fuisse. -- Torquem detraxit hosti. -- Et quidem se texit, ne interiret. .","Ad corpus referri, nec ob eam causam non fuisse. -- Torquem detraxit hosti. -- Et quidem se texit, ne interiret. .",GKQ-710050-D,Baja,2024-10-04T10:40:33+00:00,Closed,67,2024-10-04T10:40:33+00:00,0
28,Jessamyn Dicey,jessamyn.dicey@hotmail.com,"Autem illud vel maxime, quod ipsa natura divitias, quibus contenta sit, et parabilis et terminatas habet; inanium autem cupiditatum nec modus est ullus investigandi veri, nisi inveneris, et quaerendi defatigatio turpis est.","Autem illud vel maxime, quod ipsa natura divitias, quibus contenta sit, et parabilis et terminatas habet; inanium autem cupiditatum nec modus est ullus investigandi veri, nisi inveneris, et quaerendi defatigatio turpis est.","Autem illud vel maxime, quod ipsa natura divitias, quibus contenta sit, et parabilis et terminatas habet; inanium autem cupiditatum nec modus est ullus investigandi veri, nisi inveneris, et quaerendi defatigatio turpis est.",EGW-461455-M,Alta,2024-02-05T00:38:35+00:00,On Hold,81,2024-02-05T00:38:35+00:00,0
29,Sidney Snoddin,sidney.snoddin@outlook.com,Id in hominum consuetudine facilius fieri poterit et.,Id in hominum consuetudine facilius fieri poterit et.,Id in hominum consuetudine facilius fieri poterit et.,DTY-597571-C,Baja,2024-04-12T20:46:32+00:00,On Hold,80,2024-04-12T20:46:32+00:00,1
30,Georges Kyndred,georges.kyndred@hotmail.co.uk,"Dolorem? Sunt autem quidam e nostris, et scribentur fortasse plura, si vita suppetet; et tamen, qui diligenter haec, quae vitam omnem continent.","Dolorem? Sunt autem quidam e nostris, et scribentur fortasse plura, si vita suppetet; et tamen, qui diligenter haec, quae vitam omnem continent.","Dolorem? Sunt autem quidam e nostris, et scribentur fortasse plura, si vita suppetet; et tamen, qui diligenter haec, quae vitam omnem continent.",LJK-694777-U,Media,2024-03-10T01:42:14+00:00,Closed,19,2024-03-10T01:42:14+00:00,1
31,Maxy Frame,maxy.frame@hotmail.com,"Quia tutiorem vitam et voluptatem ipsam per se ipsam causam non fuisse. -- Torquem detraxit hosti. -- Et quidem se texit, ne interiret. -- At magnum.","Quia tutiorem vitam et voluptatem ipsam per se ipsam causam non fuisse. -- Torquem detraxit hosti. -- Et quidem se texit, ne interiret. -- At magnum.","Quia tutiorem vitam et voluptatem ipsam per se ipsam causam non fuisse. -- Torquem detraxit hosti. -- Et quidem se texit, ne interiret. -- At magnum.",EYW-418575-I,Media,2024-09-24T01:53:36+00:00,Resolved,73,2024-09-24T01:53:36+00:00,1
32,Debera Behne,debera.behne@hotmail.fr,"Voluptatem. Quaeque de virtutibus dicta sunt, quem ad modum sit affectus, et firmitatem animi nec mortem nec dolorem timentis, quod mors sensu careat, dolor in longinquitate levis, in gravitate brevis soleat esse, ut.","Voluptatem. Quaeque de virtutibus dicta sunt, quem ad modum sit affectus, et firmitatem animi nec mortem nec dolorem timentis, quod mors sensu careat, dolor in longinquitate levis, in gravitate brevis soleat esse, ut.","Voluptatem. Quaeque de virtutibus dicta sunt, quem ad modum sit affectus, et firmitatem animi nec mortem nec dolorem timentis, quod mors sensu careat, dolor in longinquitate levis, in gravitate brevis soleat esse, ut.",GQJ-847732-S,Baja,2024-02-04T05:38:00+00:00,In Progress,54,2024-02-04T05:38:00+00:00,0
33,Roseline Killiam,roseline.killiam@gmail.com,"Modo probantur, tamen Democritum laudatum a ceteris ab hoc, qui eum unum secutus esset, nollem vituperatum. Iam in altera philosophiae parte. Quae est quaerendi ac disserendi, quae logikh dicitur, iste vester plane, ut mihi videtur, expediunt. Ut enim aeque doleamus animo, cum corpore dolemus, fieri tamen permagna accessio potest, si aliquod aeternum.","Modo probantur, tamen Democritum laudatum a ceteris ab hoc, qui eum unum secutus esset, nollem vituperatum. Iam in altera philosophiae parte. Quae est quaerendi ac disserendi, quae logikh dicitur, iste vester plane, ut mihi videtur, expediunt. Ut enim aeque doleamus animo, cum corpore dolemus, fieri tamen permagna accessio potest, si aliquod aeternum.","Modo probantur, tamen Democritum laudatum a ceteris ab hoc, qui eum unum secutus esset, nollem vituperatum. Iam in altera philosophiae parte. Quae est quaerendi ac disserendi, quae logikh dicitur, iste vester plane, ut mihi videtur, expediunt. Ut enim aeque doleamus animo, cum corpore dolemus, fieri tamen permagna accessio potest, si aliquod aeternum.",MBQ-130545-U,Baja,2024-07-10T06:06:22+00:00,In Progress,93,2024-07-10T06:06:22+00:00,0
34,Putnem Rickard,putnem.rickard@gmail.com,"Fecisse aut in liberos atque in sanguinem suum tam crudelis fuisse, nihil ut de.","Fecisse aut in liberos atque in sanguinem suum tam crudelis fuisse, nihil ut de.","Fecisse aut in liberos atque in sanguinem suum tam crudelis fuisse, nihil ut de.",VPR-130814-M,Media,2024-05-29T07:12:02+00:00,Open,55,2024-05-29T07:12:02+00:00,1
35,Gilberta Kelle,gilberta.kelle@yahoo.com,"Repugnantibus, verum etiam summam voluptatem. Quisquis enim sentit, quem ad me de virtute misisti. Sed ex eo perciperet corpore voluptatem, aut.","Repugnantibus, verum etiam summam voluptatem. Quisquis enim sentit, quem ad me de virtute misisti. Sed ex eo perciperet corpore voluptatem, aut.","Repugnantibus, verum etiam summam voluptatem. Quisquis enim sentit, quem ad me de virtute misisti. Sed ex eo perciperet corpore voluptatem, aut.",CSL-131703-K,Alta,2024-08-29T09:38:13+00:00,Resolved,69,2024-08-29T09:38:13+00:00,0
36,Conrado Bonifant,conrado.bonifant@yahoo.com,"Cognoscerem, quoniam mihi ea facultas, ut id meo arbitratu facerem, ante hoc tempus numquam est afferat, eorum tamen utrumque et ortum esse e corpore.","Cognoscerem, quoniam mihi ea facultas, ut id meo arbitratu facerem, ante hoc tempus numquam est afferat, eorum tamen utrumque et ortum esse e corpore.","Cognoscerem, quoniam mihi ea facultas, ut id meo arbitratu facerem, ante hoc tempus numquam est afferat, eorum tamen utrumque et ortum esse e corpore.",QMX-896501-D,Media,2024-10-29T20:24:41+00:00,Cancelled,68,2024-10-29T20:24:41+00:00,0
37,Taddeusz Ingley,taddeusz.ingley@gmail.com,"Quid sit, quod Epicurum nostrum non tu quidem oderis, ut fere faciunt, qui ab eo nos abducat? Sin laboramus, quis est, qui Ennii Medeam aut Antiopam Pacuvii spernat aut reiciat, quod se isdem Euripidis fabulis delectari dicat, Latinas litteras oderit? Synephebos ego, inquit, potius Caecilii aut Andriam Terentii.","Quid sit, quod Epicurum nostrum non tu quidem oderis, ut fere faciunt, qui ab eo nos abducat? Sin laboramus, quis est, qui Ennii Medeam aut Antiopam Pacuvii spernat aut reiciat, quod se isdem Euripidis fabulis delectari dicat, Latinas litteras oderit? Synephebos ego, inquit, potius Caecilii aut Andriam Terentii.","Quid sit, quod Epicurum nostrum non tu quidem oderis, ut fere faciunt, qui ab eo nos abducat? Sin laboramus, quis est, qui Ennii Medeam aut Antiopam Pacuvii spernat aut reiciat, quod se isdem Euripidis fabulis delectari dicat, Latinas litteras oderit? Synephebos ego, inquit, potius Caecilii aut Andriam Terentii.",UMG-021775-I,Alta,2024-08-27T03:47:53+00:00,Cancelled,16,2024-08-27T03:47:53+00:00,0
38,Slade Averies,slade.averies@web.de,"Quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad.","Quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad.","Quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad.",SBH-714578-A,Alta,2024-09-26T20:55:24+00:00,In Progress,65,2024-09-26T20:55:24+00:00,0
39,Valene Gravenor,valene.gravenor@gmail.com,"Esse solam, quae nos vocet ad se et Consentinis et Siculis scribere. Facete is quidem, sicut alia; sed neque tam docti tum erant, ad quorum iudicium elaboraret, et sunt illius scripta leviora, ut urbanitas summa appareat, doctrina mediocris. Ego autem quem timeam lectorem, cum ad me accedis, saluto: 'chaere,' inquam, 'Tite!' lictores, turma omnis chorusque: 'chaere.","Esse solam, quae nos vocet ad se et Consentinis et Siculis scribere. Facete is quidem, sicut alia; sed neque tam docti tum erant, ad quorum iudicium elaboraret, et sunt illius scripta leviora, ut urbanitas summa appareat, doctrina mediocris. Ego autem quem timeam lectorem, cum ad me accedis, saluto: 'chaere,' inquam, 'Tite!' lictores, turma omnis chorusque: 'chaere.","Esse solam, quae nos vocet ad se et Consentinis et Siculis scribere. Facete is quidem, sicut alia; sed neque tam docti tum erant, ad quorum iudicium elaboraret, et sunt illius scripta leviora, ut urbanitas summa appareat, doctrina mediocris. Ego autem quem timeam lectorem, cum ad me accedis, saluto: 'chaere,' inquam, 'Tite!' lictores, turma omnis chorusque: 'chaere.",SHL-116121-E,Alta,2024-01-16T20:38:07+00:00,Open,39,2024-01-16T20:38:07+00:00,0
40,Fredia MacAndie,fredia.macandie@orange.fr,"Non satisfacit? Te enim iudicem aequum puto, modo quae dicat ille bene noris. Nisi mihi Phaedrum, inquam, tu mentitum aut Zenonem putas, quorum utrumque audivi, cum miraretur ille quidem utrumque, Phaedrum autem etiam amatoriis levitatibus dediti, alii petulantes, alii audaces, protervi, idem intemperantes et ignavi, numquam in sententia permanentes, quas ob causas in eorum vita nulla.","Non satisfacit? Te enim iudicem aequum puto, modo quae dicat ille bene noris. Nisi mihi Phaedrum, inquam, tu mentitum aut Zenonem putas, quorum utrumque audivi, cum miraretur ille quidem utrumque, Phaedrum autem etiam amatoriis levitatibus dediti, alii petulantes, alii audaces, protervi, idem intemperantes et ignavi, numquam in sententia permanentes, quas ob causas in eorum vita nulla.","Non satisfacit? Te enim iudicem aequum puto, modo quae dicat ille bene noris. Nisi mihi Phaedrum, inquam, tu mentitum aut Zenonem putas, quorum utrumque audivi, cum miraretur ille quidem utrumque, Phaedrum autem etiam amatoriis levitatibus dediti, alii petulantes, alii audaces, protervi, idem intemperantes et ignavi, numquam in sententia permanentes, quas ob causas in eorum vita nulla.",OOO-341875-Q,Media,2024-07-30T15:49:44+00:00,In Progress,21,2024-07-30T15:49:44+00:00,0
41,Saunders De la Perrelle,saunders.de la perrelle@hotmail.com,"Videantur. Invitat igitur vera ratio bene sanos in viam placatae, tranquillae, quietae, beatae.","Videantur. Invitat igitur vera ratio bene sanos in viam placatae, tranquillae, quietae, beatae.","Videantur. Invitat igitur vera ratio bene sanos in viam placatae, tranquillae, quietae, beatae.",YDW-271133-W,Media,2024-05-23T20:49:06+00:00,Cancelled,23,2024-05-23T20:49:06+00:00,1
42,Fulvia Guise,fulvia.guise@orange.fr,"Litteras oderit? Synephebos ego, inquit, potius Caecilii aut Andriam Terentii quam utramque Menandri legam? A quibus tantum dissentio, ut, cum Sophocles.","Litteras oderit? Synephebos ego, inquit, potius Caecilii aut Andriam Terentii quam utramque Menandri legam? A quibus tantum dissentio, ut, cum Sophocles.","Litteras oderit? Synephebos ego, inquit, potius Caecilii aut Andriam Terentii quam utramque Menandri legam? A quibus tantum dissentio, ut, cum Sophocles.",SFX-141827-A,Baja,2024-10-13T08:36:26+00:00,On Hold,4,2024-10-13T08:36:26+00:00,0
43,Sutton Sagerson,sutton.sagerson@hotmail.com,"Vera sentit, non dubitat, si ita melius sit, accedere? Statue contra aliquem confectum tantis animi corporisque doloribus, quanti in hominem maximi cadere possunt, nulla spe proposita fore.","Vera sentit, non dubitat, si ita melius sit, accedere? Statue contra aliquem confectum tantis animi corporisque doloribus, quanti in hominem maximi cadere possunt, nulla spe proposita fore.","Vera sentit, non dubitat, si ita melius sit, accedere? Statue contra aliquem confectum tantis animi corporisque doloribus, quanti in hominem maximi cadere possunt, nulla spe proposita fore.",KBW-539661-T,Baja,2024-05-26T09:00:31+00:00,In Progress,50,2024-05-26T09:00:31+00:00,0
44,Hoyt Shingler,hoyt.shingler@yahoo.com.br,"E nostris aliter existimant, quos quidem video esse multos, sed imperitos --, quamquam autem et laetitiam nobis voluptas animi et.","E nostris aliter existimant, quos quidem video esse multos, sed imperitos --, quamquam autem et laetitiam nobis voluptas animi et.","E nostris aliter existimant, quos quidem video esse multos, sed imperitos --, quamquam autem et laetitiam nobis voluptas animi et.",GAO-220173-R,Alta,2024-07-18T12:45:21+00:00,Resolved,97,2024-07-18T12:45:21+00:00,0
45,Culley Devinn,culley.devinn@hotmail.com,"Ad modum, quaeso, interpretaris? Sicine eos censes aut in liberos atque in sanguinem suum tam crudelis fuisse, nihil.","Ad modum, quaeso, interpretaris? Sicine eos censes aut in liberos atque in sanguinem suum tam crudelis fuisse, nihil.","Ad modum, quaeso, interpretaris? Sicine eos censes aut in liberos atque in sanguinem suum tam crudelis fuisse, nihil.",PDY-699064-P,Alta,2024-07-13T23:59:53+00:00,On Hold,87,2024-07-13T23:59:53+00:00,0
